N,P,K,ph,moisture,fertility
96,123,191,7.72,23.66,Low
55,23,145,6.28,63.82,Medium
125,98,56,7.56,15.55,Low
121,30,192,4.55,55.96,Low
54,50,174,4.61,13.89,Low
113,122,68,5.18,18.07,Low
94,50,198,5.34,17.55,Low
117,18,38,7.56,13.67,Low
27,89,99,7.33,32.48,High
103,67,91,6.96,79.6,High
42,76,203,8.04,34.38,Medium
135,7,106,5.49,63.25,Low
131,32,196,8.12,19.26,Low
124,129,165,8.14,41.81,Low
37,91,144,6.24,22.96,Low
20,81,80,4.88,23.45,Low
56,80,23,7.41,16.98,Medium
136,118,141,5.85,40.24,Low
127,137,78,7.68,15.29,Low
135,79,149,5.15,73.69,Low
81,63,54,6.66,41.35,High
116,63,43,6.53,68.7,High
42,51,173,4.9,78.56,Medium
28,99,142,5.95,57.44,Low
83,82,16,4.84,73.11,Medium
107,117,83,6.36,19.48,Low
138,113,19,7.87,68.1,Low
102,110,32,5.58,28.99,Low
57,93,136,7.56,43.08,Low
73,37,40,5.23,55.26,High
70,101,123,7.19,73.25,Medium
48,83,69,8.16,73.77,High
137,20,102,5.8,16.45,Low
97,48,51,8.1,35.52,High
35,124,85,6.52,65.52,Medium
26,138,43,5.77,59.22,Medium
80,112,42,8.09,11.84,Low
22,8,48,4.63,41.49,Low
78,60,183,4.61,68.05,Medium
35,68,101,6.9,61.64,High
58,99,128,7.69,38.83,Low
16,60,30,7.51,61.46,Medium
67,36,168,4.82,48.58,Medium
58,120,201,8.3,73.88,Low
112,13,101,7.31,51.1,Medium
62,109,5,8.3,38.05,Low
71,82,57,5.82,70.4,High
26,91,10,7.28,13.49,Low
34,25,41,7.94,73.04,Low
38,59,6,6.02,58.74,Medium
126,80,127,8.36,75.84,Low
35,134,73,5.56,27.54,Low
133,130,173,5.76,58.64,Low
34,136,183,8.18,66.66,Low
63,88,179,8.38,59.15,Medium
82,119,17,5.64,24.72,Low
129,52,73,5.05,29.29,Low
65,127,70,7.54,49.67,Medium
74,82,63,8.22,41.27,High
102,34,72,6.9,61.46,High
95,33,63,7.04,36.51,High
89,140,121,7.55,70.16,Low
117,144,14,5.11,40.23,Low
127,45,145,8.39,12.8,Low
92,30,134,5.96,11.22,Medium
24,54,19,7.01,55.27,Medium
39,6,50,6.37,47.84,Medium
66,59,189,6.37,47.99,High
137,108,142,7.31,65.3,Low
57,18,154,8.48,36.3,Low
31,138,93,7.14,79.68,Medium
15,132,81,7.68,76.19,Low
113,108,140,4.61,10.91,Low
45,99,153,7.74,72.7,Low
88,85,154,5.7,57.64,High
125,65,114,5.01,45.15,Medium
66,16,101,4.95,50.79,Medium
58,17,49,7.22,68.93,High
91,93,95,8.49,76.57,Medium
75,99,172,7.16,49.22,Medium
86,63,118,5.55,22.69,High
54,41,154,5.31,54.78,Medium
88,29,162,6.6,15.34,Low
29,20,194,4.76,54.46,Low
132,91,77,6.1,66.6,Medium
76,138,177,7.16,34.73,Medium
92,27,39,8.37,14.98,Low
12,130,46,6.2,58.46,Medium
73,64,137,5.3,33.75,Medium
49,144,31,7.77,27.44,Low
68,104,202,7.48,58.24,Medium
71,107,194,7.94,77.87,Low
69,138,36,5.36,62.17,Medium
125,67,140,6.12,44.39,Medium
84,42,107,8.43,52.04,High
131,132,89,5.13,19.96,Low
116,54,150,7.19,66.92,Medium
105,44,82,5.45,52.3,Medium
100,12,147,6.5,77.61,Medium
139,12,158,7.7,78.56,Low
71,108,185,6.45,34.82,Medium
58,38,48,7.72,79.2,High
101,61,36,6.21,76.98,High
133,26,32,8.5,54.79,Low
70,91,171,6.24,33.34,Medium
57,44,164,5.1,62.73,Medium
67,90,81,6.11,28.99,High
110,137,22,7.47,54.09,Low
121,99,107,7.89,11.72,Low
71,17,74,6.34,54.0,High
48,32,123,6.88,76.61,High
67,88,143,7.88,26.46,Low
108,66,164,7.75,64.47,Low
53,97,152,7.13,30.54,Medium
38,91,101,7.76,59.55,Low
68,28,172,6.8,59.0,Medium
80,102,140,4.52,22.93,Low
101,11,39,4.67,51.8,Low
18,41,73,8.42,70.14,Medium
136,72,130,5.08,36.78,Low
30,90,103,6.12,59.72,High
73,137,82,8.24,57.21,Medium
99,91,153,5.28,28.03,Low
45,19,115,7.88,74.31,Medium
71,127,156,7.77,49.45,Low
85,111,21,8.45,34.87,Low
22,93,150,5.63,21.51,Low
20,129,144,5.76,43.14,Low
63,117,148,8.11,61.11,Low
25,141,8,5.44,53.65,Low
17,111,166,6.69,60.89,Low
113,91,96,7.33,65.42,Medium
68,72,178,5.59,40.87,High
66,19,79,8.25,46.41,Medium
49,69,163,7.16,79.05,High
139,58,157,4.69,77.76,Low
103,97,107,5.04,39.04,Low
53,24,28,5.26,57.96,Low
89,37,69,5.48,28.73,Medium
90,104,121,7.42,20.69,Low
11,81,157,4.86,63.79,Low
124,139,160,5.9,40.53,Low
99,140,168,8.15,22.39,Low
32,111,86,6.73,63.12,Medium
71,124,10,5.56,74.06,Medium
122,78,70,8.33,75.33,Medium
137,15,71,5.48,51.74,Low
71,35,76,8.12,43.57,High
47,16,99,7.4,19.93,Medium
70,128,52,7.46,65.5,High
138,82,74,7.56,76.17,Medium
131,100,82,6.53,72.26,Medium
119,54,71,7.76,62.62,Medium
22,121,180,7.84,10.32,Low
109,21,69,5.94,38.54,Medium
31,133,176,6.1,38.75,Low
83,68,67,8.06,72.61,High
32,136,50,6.6,14.6,Low
128,91,151,7.97,47.19,Low
79,20,196,7.01,19.53,Low
93,67,77,6.87,56.36,High
110,80,75,4.62,65.46,Medium
93,89,114,5.61,54.94,High
37,113,182,6.51,65.62,Low
10,21,67,6.85,52.52,Medium
72,62,45,7.02,23.29,High
31,83,11,7.36,36.79,Medium
79,65,141,7.12,76.98,High
134,117,8,7.89,30.17,Low
105,125,93,5.68,14.4,Low
88,38,181,7.07,36.94,High
14,74,138,4.7,35.64,Low
69,21,86,6.42,42.92,High
129,24,25,5.57,49.22,Low
55,63,147,6.02,79.47,High
65,73,132,5.92,62.94,High
119,106,199,4.74,12.51,Low
113,124,198,6.37,59.89,Low
86,61,188,8.48,67.7,Medium
11,87,109,5.7,72.69,High
17,133,108,7.44,39.68,Medium
84,17,72,6.69,31.95,High
134,10,164,5.8,68.75,Low
47,101,198,4.86,64.43,Low
36,98,114,5.36,47.52,Low
29,114,161,7.63,18.25,Low
52,142,70,5.62,55.62,High
40,55,166,5.08,14.6,Low
100,55,31,5.83,17.03,High
70,91,64,6.84,33.18,High
118,72,122,7.31,35.98,Medium
100,88,171,6.05,42.34,High
104,46,48,6.49,33.74,High
22,61,40,6.32,12.37,Medium
122,66,23,4.54,21.02,Low
44,11,95,6.08,18.06,Medium
57,116,49,6.85,40.18,High
44,30,153,6.78,24.85,Medium
95,23,155,7.5,30.55,Medium
123,13,159,7.18,43.01,Low
109,65,102,5.61,26.49,Medium
108,24,204,5.52,27.22,Low
12,110,23,6.36,68.32,Low
94,54,45,7.43,48.37,High
134,85,30,4.88,69.97,Medium
92,144,32,8.29,46.02,Medium
34,14,68,6.67,73.65,Medium
77,69,72,5.73,27.83,High
70,12,84,7.27,53.17,High
38,26,55,4.68,45.23,Low
136,22,106,6.44,74.31,Medium
28,13,180,6.44,39.29,Low
83,58,14,5.15,69.84,Medium
70,30,171,7.85,49.47,Medium
29,98,104,7.69,59.6,Low
57,104,126,5.11,72.08,Low
96,30,151,5.96,79.78,High
119,38,68,4.9,61.18,Medium
37,12,128,7.89,32.02,Low
68,142,23,5.79,30.93,Medium
60,52,80,6.26,31.64,High
21,111,66,5.8,16.85,Low
59,58,145,5.74,13.75,Medium
122,123,29,7.49,50.66,Low
23,85,93,7.49,66.74,High
41,100,96,6.57,12.53,Medium
64,106,46,7.13,49.66,High
129,66,121,6.55,36.02,Medium
84,50,43,4.61,72.47,High
30,91,162,4.76,20.18,Low
96,103,137,6.03,49.44,Medium
68,43,85,7.5,77.96,High
98,57,150,8.15,34.15,Medium
92,84,111,4.62,61.92,High
74,20,115,5.97,71.77,High
73,108,25,5.4,23.03,Low
80,74,54,7.76,79.48,High
13,112,125,7.88,66.66,Low
113,51,138,5.33,19.63,Low
102,13,54,7.34,31.76,Medium
121,38,198,7.43,53.75,Medium
128,90,119,5.21,71.94,Medium
68,119,5,6.23,23.64,Low
52,68,189,6.98,61.18,High
21,38,34,4.6,28.95,Low
49,16,190,6.12,66.38,Medium
127,101,111,5.12,57.84,Low
29,125,184,6.67,46.6,Low
99,91,169,7.87,55.49,Low
103,106,52,6.6,71.35,Medium
22,100,91,4.64,37.05,Low
75,118,133,4.62,63.85,Low
46,51,23,6.92,21.12,Medium
75,62,50,5.81,59.08,High
45,137,199,6.79,62.55,Medium
35,125,134,5.15,41.01,Low
84,122,60,7.61,65.55,Medium
117,9,149,7.94,49.0,Low
52,100,96,8.06,75.54,Medium
17,25,86,5.72,17.87,Low
38,132,83,7.14,19.16,Low
49,128,154,5.62,68.97,Medium
137,25,109,7.55,68.97,Low
93,58,31,4.98,42.99,High
125,142,59,7.55,77.48,Low
71,108,164,6.26,57.56,Medium
16,115,64,7.92,78.8,Low
54,120,113,7.46,47.27,High
97,61,160,6.01,24.11,Medium
82,132,160,8.11,41.11,Low
46,124,124,5.63,78.63,Medium
128,74,157,8.37,35.93,Low
66,99,89,7.57,76.99,Medium
17,103,90,8.46,65.79,Low
104,46,121,4.72,40.95,Low
126,74,158,5.6,47.93,Medium
119,6,112,7.47,52.52,Medium
29,113,79,8.19,56.6,Low
133,69,123,4.62,15.37,Low
62,74,203,4.5,75.35,Medium
128,73,149,5.52,51.79,Medium
21,125,11,7.91,75.18,Low
26,113,188,7.57,54.23,Low
73,64,196,5.86,40.17,High
51,97,152,4.51,49.68,Low
103,16,170,6.72,68.07,Low
20,107,79,5.45,32.83,Low
107,116,62,7.48,76.95,Medium
80,69,20,6.29,42.62,High
117,52,183,7.21,76.94,Medium
67,92,31,7.91,71.65,Medium
43,66,55,6.64,63.74,High
29,48,79,5.84,42.72,High
59,140,148,7.58,51.09,Low
111,59,91,5.56,68.66,High
61,112,192,8.07,48.08,Low
24,51,127,4.79,61.67,Low
93,6,80,7.84,65.35,Medium
46,117,44,4.87,45.92,Medium
135,15,71,4.72,47.54,Low
49,142,134,5.95,23.85,Low
81,116,106,8.33,27.13,Low
49,94,180,8.43,73.35,Low
65,59,184,5.31,68.82,Medium
113,21,156,5.09,10.71,Low
119,72,97,5.91,70.86,High
102,137,114,5.85,11.77,Low
103,56,86,7.54,42.08,Medium
65,142,82,6.28,14.72,Medium
69,101,6,7.62,77.82,Low
48,52,69,7.49,78.06,High
37,33,24,6.81,52.76,Medium
58,31,38,7.83,37.45,High
134,108,45,5.28,45.84,Low
22,64,173,5.15,63.36,Low
45,110,27,7.5,25.62,Low
110,73,42,5.48,40.92,Medium
35,118,176,4.51,61.61,Low
95,25,71,8.15,37.68,Medium
13,106,66,6.99,12.24,Low
91,135,144,6.28,45.52,Medium
136,99,34,7.4,61.62,Medium
97,109,91,5.83,78.38,High
136,129,197,8.31,12.59,Low
129,6,173,4.77,47.79,Low
31,70,152,7.06,41.5,Medium
139,117,122,7.61,26.97,Low
40,46,10,6.38,54.64,High
128,24,79,7.52,21.45,Low
20,101,136,8.21,29.87,Low
55,72,97,7.48,64.72,High
105,79,14,5.74,42.23,Medium
19,129,55,6.75,79.56,Medium
137,51,97,8.15,37.05,Medium
108,9,42,6.3,42.43,Medium
121,53,133,7.23,31.02,Medium
69,128,140,6.36,26.54,Low
96,41,106,4.99,74.56,High
74,23,85,4.73,62.42,Medium
66,44,87,8.31,33.34,High
115,21,195,6.95,59.01,Low
18,103,165,4.92,77.6,Low
31,97,147,7.93,15.18,Low
98,46,35,6.59,28.52,High
27,127,25,7.59,24.04,Low
124,111,135,5.01,70.88,Low
115,76,130,8.13,22.54,Low
24,69,198,6.86,31.57,Medium
72,113,39,7.45,48.07,High
22,57,173,4.63,53.48,Low
90,139,191,5.76,66.57,Medium
41,137,148,5.57,38.51,Medium
49,28,188,8.3,47.4,Low
91,32,49,5.24,77.58,High
86,66,63,7.33,30.82,High
85,21,182,4.67,27.37,Low
47,24,16,5.29,59.74,Low
80,7,144,5.85,63.98,Medium
57,55,37,7.68,39.03,High
27,140,181,7.66,24.91,Low
48,7,25,8.31,64.52,Low
98,77,64,8.17,56.93,High
71,109,56,4.83,71.34,Medium
118,122,186,7.82,69.1,Low
90,38,171,6.3,24.36,Medium
86,141,181,7.96,68.26,Low
99,66,127,4.86,22.26,Low
23,124,110,7.79,70.46,Low
104,119,196,5.14,63.92,Low
63,17,104,5.84,49.89,High
48,73,158,4.62,54.96,Medium
81,81,75,4.99,17.29,Medium
34,5,139,6.28,12.79,Low
86,93,204,7.77,33.15,Low
129,51,66,7.59,67.5,Medium
62,8,92,5.44,42.6,Medium
105,14,28,5.11,25.64,Low
81,32,44,6.06,68.42,High
71,125,80,8.03,26.0,Low
15,130,179,4.87,67.08,Low
41,138,140,6.67,41.71,Medium
108,144,186,4.86,42.44,Low
85,66,13,6.38,29.09,Medium
68,71,7,5.01,73.01,Medium
40,78,186,4.82,16.21,Low
102,99,25,5.26,20.11,Low
78,40,99,5.52,54.51,High
61,116,180,5.61,69.51,Medium
98,135,179,7.08,16.68,Low
136,117,200,4.72,61.36,Low
40,114,195,4.82,61.98,Low
93,118,20,5.25,50.71,Low
136,71,111,7.99,44.07,Medium
22,130,97,7.01,32.48,Medium
54,90,137,7.42,34.6,High
136,23,143,5.98,57.21,Low
123,73,161,5.35,14.57,Low
29,14,83,4.65,50.95,Low
90,132,74,6.45,29.51,Medium
138,103,52,6.8,42.66,Medium
26,36,19,8.09,49.13,Low
67,116,38,8.03,72.0,Medium
81,28,64,6.2,50.54,High
118,39,194,6.19,25.9,Low
32,87,6,5.14,15.56,Low
81,74,84,5.53,53.89,High
17,113,23,8.2,48.15,Low
68,103,53,5.06,57.03,Medium
120,37,82,8.37,42.16,Medium
22,60,32,6.52,67.76,High
25,16,52,6.33,74.41,Medium
128,15,100,5.2,12.8,Low
11,74,169,7.15,62.09,Medium
39,144,181,6.34,12.46,Low
112,45,113,5.98,41.16,High
22,110,180,5.56,42.31,Low
105,7,77,4.77,58.74,Low
103,7,104,6.58,34.67,Medium
91,88,33,5.75,67.46,High
22,111,192,7.33,34.0,Low
103,138,161,7.39,33.98,Low
121,24,62,5.83,25.59,Low
64,143,52,7.18,57.87,High
90,100,27,5.53,15.36,Low
125,128,31,7.41,35.41,Medium
117,25,11,4.56,28.68,Low
62,118,53,5.11,26.05,Low
137,17,186,5.48,14.27,Low
66,90,113,7.59,23.33,Medium
61,39,72,4.77,41.24,High
120,51,174,5.25,45.26,Low
10,129,191,5.93,28.87,Low
53,114,176,4.54,55.52,Low
84,41,158,7.55,33.51,Medium
107,25,155,6.74,35.71,Low
18,18,77,8.1,64.78,Low
41,95,105,4.62,48.64,Medium
24,64,12,5.59,76.72,Medium
81,128,57,7.43,35.15,High
21,27,146,7.2,67.95,Low
74,115,203,5.47,61.68,Low
116,128,139,6.88,72.31,Low
51,34,141,7.68,76.98,Medium
124,119,7,4.63,10.54,Low
112,94,82,7.37,16.18,Low
104,42,149,5.51,57.2,Medium
26,87,176,8.29,37.31,Low
94,31,90,6.65,67.34,High
65,108,50,4.63,10.84,Low
95,120,94,6.11,66.49,High
111,19,190,8.37,19.47,Low
63,7,160,7.42,30.32,Medium
124,14,146,5.7,77.84,Low
97,124,13,6.8,13.61,Low
58,132,119,6.9,34.43,High
124,15,158,4.59,15.92,Low
72,137,134,5.22,69.75,Low
113,73,79,6.71,59.21,High
92,68,85,6.11,66.02,High
112,18,132,5.26,46.91,Low
26,54,38,7.59,35.04,Medium
15,76,151,6.46,10.16,Low
37,73,43,5.74,29.45,Medium
47,139,17,5.15,46.02,Low
128,131,137,6.94,56.51,Low
46,20,54,7.17,26.03,Medium
124,82,27,7.18,19.72,Low
77,105,126,5.38,24.11,Low
52,60,124,6.88,34.79,High
67,109,92,8.12,20.39,Low
22,136,161,5.91,20.98,Low
61,52,116,5.34,13.06,Medium
67,21,115,7.59,69.97,Medium
41,115,76,5.21,25.38,Low
114,74,158,5.51,67.53,Medium
92,84,61,4.9,40.68,High
108,97,5,5.57,54.27,Low
113,42,160,6.14,15.3,Low
37,105,117,4.76,50.85,Low
138,66,66,7.99,30.3,Medium
57,125,51,6.55,16.66,Medium
49,52,82,6.85,73.58,High
106,14,110,5.99,52.25,Medium
123,40,191,7.18,26.92,Low
120,8,163,6.23,39.38,Low
85,48,202,7.55,34.98,Medium
40,60,130,7.79,59.04,Medium
128,46,181,7.19,52.52,Medium
34,118,9,6.47,11.38,Low
43,25,35,7.63,23.85,Low
76,83,41,6.48,43.47,High
127,73,83,4.95,41.18,Medium
82,74,147,4.97,46.17,Medium
35,71,56,8.29,60.04,Medium
113,52,201,5.35,57.74,Low
19,40,143,7.76,36.1,Low
76,31,47,5.49,71.43,High
14,76,202,6.22,14.41,Low
36,105,155,7.12,50.92,Low
122,100,44,5.14,76.48,Low
24,132,67,7.45,48.44,Medium
114,30,134,7.26,41.86,Medium
53,70,91,6.67,19.37,High
35,144,77,6.76,66.71,Medium
104,26,179,4.92,36.17,Low
93,21,108,6.24,59.09,High
96,11,162,4.85,23.83,Low
121,111,20,5.73,12.93,Low
138,72,63,8.1,31.38,Medium
98,132,51,6.8,29.7,Medium
75,41,120,7.47,71.14,High
131,42,162,6.8,70.53,Medium
93,100,113,5.28,47.37,Medium
125,143,13,6.88,11.33,Low
125,5,69,7.52,25.98,Low
47,46,63,5.05,54.73,High
119,67,106,7.77,17.1,Low
55,85,196,6.72,59.04,High
34,12,140,4.52,10.84,Low
30,31,127,6.58,57.78,Medium
130,56,184,6.08,69.12,Medium
131,95,150,5.69,42.85,Low
79,90,95,7.59,68.04,High
122,20,100,8.1,64.71,Low
116,70,62,7.55,57.0,Medium
121,9,181,7.89,41.16,Low
117,86,36,8.14,29.03,Low
56,135,52,8.15,70.26,Medium
100,122,49,4.96,55.4,Medium
27,85,186,6.33,65.86,Medium
113,74,104,4.5,48.64,Medium
49,119,104,6.53,22.03,Medium
98,11,50,8.2,78.56,Medium
70,54,163,5.3,22.79,Low
14,115,169,7.06,73.79,Low
131,51,148,7.08,24.57,Low
64,116,178,5.14,36.16,Low
46,47,130,5.45,40.81,Medium
65,95,50,6.35,74.5,High
111,33,125,5.25,72.17,Low
102,132,92,6.84,67.63,Medium
82,137,65,6.44,36.37,High
68,100,50,6.58,10.31,Medium
11,121,183,5.04,57.71,Low
113,74,194,6.57,38.77,Medium
60,134,167,4.7,62.99,Low
39,74,85,8.03,65.64,Medium
20,114,174,5.87,40.78,Low
117,136,49,7.93,62.37,Low
85,60,122,7.31,68.8,High
99,93,200,7.56,74.99,Low
132,141,51,5.76,50.77,Medium
134,135,162,5.41,64.49,Low
131,104,156,6.13,44.62,Low
103,133,198,4.6,12.92,Low
112,61,175,8.18,20.87,Low
40,55,166,6.05,18.98,Medium
61,116,27,8.45,22.02,Low
98,108,65,7.55,10.71,Low
85,131,169,4.82,70.11,Low
138,59,17,7.14,49.21,Medium
31,5,203,5.58,36.82,Low
49,94,11,5.47,38.68,Low
110,57,174,5.53,42.43,Medium
120,77,170,8.16,15.17,Low
138,112,184,6.5,29.23,Low
74,12,176,7.18,69.61,Medium
88,46,196,5.62,62.06,High
31,29,145,6.59,49.44,Low
108,42,32,5.9,43.65,High
17,89,100,5.78,28.13,Medium
26,28,111,5.49,42.99,Low
26,64,102,6.14,51.85,High
99,115,116,7.14,59.88,High
90,70,5,5.39,21.66,Low
87,57,47,8.36,66.92,High
15,110,46,5.0,34.21,Low
119,100,99,6.42,45.23,Medium
23,43,182,4.84,52.55,Low
81,46,192,4.59,44.17,Medium
63,115,133,8.19,50.04,Low
36,108,55,7.74,17.81,Low
22,81,148,7.28,40.25,Medium
69,12,171,7.96,29.63,Low
15,30,19,7.71,16.02,Low
67,144,129,7.09,23.42,Low
58,47,165,7.89,52.17,Medium
35,114,91,6.06,23.77,Low
56,104,57,6.71,22.67,Medium
14,67,149,7.61,48.7,Low
29,53,93,4.84,73.33,Medium
68,119,110,7.93,65.21,Medium
26,141,10,5.13,73.36,Low
23,69,35,7.96,50.81,Medium
22,75,201,5.75,38.7,Medium
137,11,44,5.81,61.07,Medium
53,84,162,4.8,28.3,Low
128,71,73,8.04,15.46,Low
28,142,139,5.2,34.12,Low
72,105,17,7.02,30.95,Medium
90,99,8,7.08,57.29,Medium
109,91,182,5.62,48.6,Low
131,95,7,8.44,19.68,Low
53,107,144,4.76,73.6,Low
113,130,69,6.93,51.53,Medium
70,117,31,6.42,42.04,High
134,8,111,5.48,75.6,Low
80,92,54,5.15,16.81,Low
116,7,21,7.45,65.27,Low
59,95,204,8.17,35.53,Low
74,7,36,4.93,58.68,Medium
108,85,183,5.28,75.15,Low
41,142,21,8.45,46.24,Low
67,98,38,4.56,11.58,Low
137,130,39,6.53,12.02,Low
121,117,156,6.56,33.14,Low
77,104,186,5.55,64.72,Medium
49,57,150,7.15,30.18,High
99,91,54,8.28,33.41,Medium
37,93,178,6.3,64.91,Low
105,58,180,7.5,18.13,Low
40,24,107,7.08,69.28,High
12,117,37,6.39,28.61,Low
33,53,93,4.7,13.59,Low
24,139,159,7.47,18.21,Low
54,33,133,5.95,76.68,High
17,52,89,5.4,41.59,Medium
80,17,63,8.29,27.95,Low
117,7,14,7.59,46.49,Low
124,6,157,8.35,57.76,Low
112,20,61,5.52,32.32,Medium
134,98,70,7.84,60.77,Low
66,106,123,6.93,27.66,Low
39,138,116,8.43,17.86,Low
123,49,19,8.29,48.48,Low
126,75,160,8.39,20.58,Low
69,137,17,8.31,75.83,Low
107,60,118,4.53,10.03,Low
135,131,122,7.46,62.9,Low
103,36,146,5.59,29.56,Low
131,53,118,7.32,69.23,High
117,17,198,8.42,14.21,Low
13,29,38,4.66,76.71,Low
102,64,105,6.77,17.1,Medium
15,63,29,7.44,65.15,Medium
41,62,116,5.51,46.21,High
115,24,58,5.4,40.13,Low
24,137,16,4.74,29.61,Low
131,61,130,4.88,68.9,Low
105,58,141,7.13,23.98,Low
15,116,35,6.52,60.49,Medium
121,90,82,4.62,41.21,Medium
129,41,57,8.38,79.89,Medium
132,88,116,7.12,52.8,High
76,52,47,6.56,17.29,High
115,122,170,5.59,39.37,Low
52,52,46,7.13,14.64,High
105,116,128,5.96,30.0,Low
90,114,204,7.31,34.03,Medium
50,10,180,7.23,69.72,Medium
44,82,71,4.87,68.66,High
31,27,70,8.14,10.81,Low
121,130,148,6.45,47.26,Low
20,88,87,6.07,25.65,Medium
12,17,98,8.32,32.41,Low
69,51,109,6.25,11.52,High
85,48,148,7.38,62.48,High
96,109,35,7.12,76.54,High
23,18,122,5.16,25.35,Low
27,125,190,8.46,33.92,Low
122,40,32,6.35,24.45,Medium
82,12,8,6.08,75.1,Medium
32,20,142,8.18,10.65,Low
92,95,183,6.62,50.87,Medium
134,124,22,7.32,70.95,Low
78,64,51,7.88,23.04,Medium
56,14,164,5.44,51.3,Low
125,35,162,5.18,13.55,Low
39,25,168,4.77,67.02,Low
34,85,13,8.09,29.21,Low
121,37,168,5.3,79.21,Low
34,35,33,5.73,74.54,High
83,40,148,5.64,61.28,High
67,136,96,5.72,44.78,High
103,72,153,7.17,63.66,Medium
128,94,68,8.32,19.14,Low
136,136,115,5.82,31.71,Medium
34,13,198,6.13,11.88,Low
87,34,128,7.58,55.15,Medium
108,119,191,6.23,66.39,Low
125,49,114,8.2,76.24,Medium
57,8,122,6.51,58.06,Medium
19,73,160,5.89,61.25,Medium
108,27,187,8.39,72.68,Low
20,20,104,6.2,75.55,Medium
94,26,35,5.42,44.39,Medium
135,76,165,5.21,17.69,Low
73,52,192,8.48,42.65,Medium
11,111,173,7.51,48.93,Low
85,137,85,6.13,54.21,High
130,11,50,7.81,79.25,Low
51,55,53,6.69,74.23,High
63,69,197,5.77,37.75,High
84,13,46,7.47,17.94,Medium
25,86,155,7.48,25.04,Low
27,49,116,6.5,22.17,Medium
99,126,31,4.68,34.92,Medium
15,14,164,4.81,71.35,Low
117,77,92,7.65,40.66,Medium
57,52,125,7.79,49.71,Medium
51,91,7,7.21,22.54,Low
85,115,64,7.86,44.5,Medium
86,20,83,7.38,71.15,High
139,57,149,8.09,64.14,Low
68,44,36,5.1,15.68,Medium
36,104,11,6.05,70.35,Low
88,24,75,6.36,29.17,Medium
81,73,132,5.69,56.6,High
16,49,201,7.4,20.25,Low
120,10,62,8.15,57.23,Low
128,43,172,6.15,12.5,Low
72,106,116,8.27,52.05,Medium
133,134,52,6.57,55.22,Medium
21,111,183,6.59,27.11,Low
52,43,189,6.9,75.59,High
26,122,115,5.57,13.22,Low
72,86,75,6.03,72.42,High
129,58,169,6.71,36.73,Medium
45,114,79,8.27,59.97,Medium
17,16,78,7.07,55.61,Medium
78,114,125,5.83,21.78,Low
99,42,59,4.54,32.33,High
45,11,45,8.43,47.08,Medium
37,82,101,6.47,69.26,High
127,69,152,8.25,76.84,Low
102,106,37,6.7,11.44,Low
85,105,172,6.92,34.68,Medium
110,48,38,7.35,56.77,High
23,35,66,5.78,46.94,High
80,81,23,7.3,76.01,High
133,52,175,6.61,11.19,Low
134,86,201,7.19,40.64,Medium
46,131,195,7.84,56.82,Low
38,88,14,5.24,25.23,Low
28,14,124,6.95,60.81,Low
115,33,127,4.71,15.69,Low
30,52,108,4.91,41.57,Medium
73,120,145,7.2,57.34,Medium
36,17,9,4.78,28.67,Low
64,51,62,6.88,15.17,High
38,107,63,5.38,76.99,Low
34,95,132,5.72,73.97,Low
79,57,191,5.02,74.85,Medium
72,96,90,5.49,78.5,Medium
139,81,108,7.79,22.93,Low
25,48,147,7.06,21.04,Low
109,6,133,8.3,12.4,Low
39,105,42,4.69,72.43,Low
54,61,111,7.67,62.69,High
28,61,113,7.3,54.33,High
43,38,57,5.54,74.94,High
71,62,56,7.42,50.26,High
127,39,5,7.37,19.08,Low
109,79,15,6.34,22.38,Low
31,37,62,7.25,19.25,Medium
120,119,132,6.28,31.54,Low
82,79,172,5.84,36.56,High
47,77,192,6.37,65.78,High
79,82,48,8.08,23.39,Medium
125,13,10,6.04,60.78,Low
88,52,160,6.11,44.39,High
18,71,163,6.93,79.98,Medium
41,123,12,7.51,64.36,Low
59,137,9,7.44,77.83,Medium
91,123,110,4.58,33.96,Medium
14,90,186,7.25,18.61,Low
96,110,116,6.3,45.41,High
135,80,21,6.6,18.7,Low
84,44,170,6.75,44.47,High
31,23,13,7.43,28.9,Low
77,51,82,7.83,44.37,High
53,69,18,7.09,76.47,High
43,34,158,6.76,30.23,High
86,130,117,6.0,79.54,High
51,70,194,5.05,26.05,Low
115,9,95,8.33,24.57,Low
104,97,29,6.35,48.14,Low
77,101,168,6.76,68.94,Medium
137,98,102,7.5,62.47,Medium
94,110,165,4.77,60.65,Low
92,137,7,7.92,29.78,Low
104,89,143,7.69,11.58,Low
41,62,116,7.6,21.32,Medium
75,83,190,4.59,34.46,Medium
125,12,196,6.61,78.02,Low
139,16,150,4.72,74.38,Low
69,98,51,6.7,24.05,Medium
26,95,176,7.37,60.79,Low
105,37,191,4.99,50.53,Low
25,104,54,7.28,13.49,Low
55,19,201,6.3,36.02,Medium
116,118,161,7.75,44.03,Low
97,133,128,6.63,56.73,Medium
138,15,94,5.84,30.64,Medium
128,59,71,5.83,75.37,High
94,6,6,8.09,41.63,Low
13,69,157,6.31,27.4,Low
80,20,151,6.12,32.15,Medium
120,110,172,4.66,62.63,Low
59,34,6,5.96,54.82,High
104,14,69,7.9,61.95,Low
101,66,194,7.54,30.46,Low
74,89,95,5.38,32.88,High
56,138,186,6.15,37.77,Medium
115,71,177,5.29,23.2,Low
139,45,120,8.32,58.37,Medium
